iter	Passed	Remaining
398	61946	248561
399	62069	248279
400	62211	248068
401	62354	247865
402	62493	247647
403	62622	247390
404	62772	247216
405	62891	246919
406	63023	246673
407	63159	246444
408	63286	246182
409	63431	245989
410	63576	245797
411	63717	245590
412	63856	245377
413	63989	245137
414	64117	244882
415	64265	244702
416	64423	244561
417	64563	244352
418	64701	244137
419	64836	243907
420	64975	243697
421	65111	243475
422	65247	243250
423	65368	242972
424	65513	242786
425	65658	242595
426	65790	242359
427	65952	242237
428	66073	241960
429	66196	241695
430	66334	241483
431	66491	241339
432	66650	241203
433	66805	241053
434	66965	240920
435	67129	240803
436	67288	240666
437	67439	240504
438	67620	240445
439	67770	240276
440	67926	240128
441	68094	240025
442	68254	239893
443	68415	239763
444	68561	239578
445	68711	239411
446	68904	239393
447	69053	239220
448	69229	239140
449	69379	238974
450	69538	238836
451	69683	238651
452	69836	238492
453	70001	238375
454	70156	238222
455	70311	238072
456	70487	237991
457	70659	237895
458	70801	237700
459	70970	237598
460	71124	237440
461	71270	237259
462	71452	237198
463	71593	236998
464	71747	236844
465	71888	236647
466	72064	236562
467	72252	236518
468	72409	236371
469	72564	236222
470	72744	236148
471	72908	236026
472	73066	235881
473	73203	235671
474	73338	235454
475	73500	235325
476	73685	235269
477	73852	235154
478	74012	235016
479	74166	234861
480	74320	234705
481	74481	234570
482	74668	234519
483	74820	234354
484	74980	234216
485	75139	234075
486	75344	234077
487	75511	233962
488	75679	233849
489	75842	233718
490	76001	233576
491	76168	233458
492	76344	233369
493	76507	233240
494	76715	233247
495	76920	233241
496	77150	233314
497	77355	233308
498	77601	233425
499	77810	233432
500	78063	233566
501	78291	233628
502	78531	233720
503	78789	233865
504	79027	233953
505	79224	233917
506	79473	234032
507	79692	234057
508	79932	234143
509	80176	234240
510	80405	234291
511	80606	234263
512	80826	234286
513	81055	234336
514	81295	234414
515	81523	234457
516	81683	234305
517	81844	234158
518	82059	234160
519	82246	234085
520	82392	233893
521	82593	233856
522	82732	233644
523	82905	233527
524	83090	233443
525	83266	233334
526	83465	233291
527	83664	233247
528	83849	233160
529	83998	232978
530	84195	232925
531	84397	232885
532	84558	232735
533	84743	232647
534	84927	232558
535	85087	232404
536	85241	232230
537	85436	232171
538	85601	232028
539	85765	231884
540	85914	231698
541	86090	231587
542	86230	231376
543	86393	231229
544	86568	231113
545	86729	230960
546	86884	230792
547	87024	230583
548	87162	230370
549	87321	230210
550	87462	230005
551	87606	229807
552	87753	229618
553	87871	229355
554	88013	229151
555	88143	228919
556	88267	228670
557	88391	228423
558	88520	228190
559	88647	227951
560	88778	227722
561	88931	227550
562	89066	227333
563	89220	227163
564	89353	226942
565	89495	226744
566	89638	226547
567	89789	226371
568	89945	226208
569	90112	226071
570	90257	225879
571	90397	225676
572	90545	225495
573	90686	225294
574	90808	225047
575	90947	224842
576	91125	224735
577	91265	224531
578	91413	224349
579	91558	224161
580	91701	223965
581	91846	223777
582	91993	223592
583	92148	223427
584	92289	223230
585	92415	222996
586	92549	222781
587	92703	222615
588	92839	222404
589	92985	222219
590	93141	222058
591	93291	221882
592	93430	221680
593	93576	221497
594	93716	221295
595	93837	221053
596	93978	220856
597	94127	220681
598	94244	220429
599	94384	220231
600	94526	220037
601	94673	219855
602	94817	219667
603	94962	219483
604	95108	219298
605	95235	219073
606	95370	218865
607	95506	218660
608	95645	218461
609	95785	218266
610	95937	218097
611	96092	217936
612	96217	217706
613	96351	217497
614	96496	217312
615	96640	217126
616	96772	216915
617	96900	216693
618	97045	216509
619	97165	216271
620	97296	216057
621	97426	215843
622	97579	215677
623	97744	215540
624	97886	215350
625	98020	215143
626	98200	215037
627	98307	214773
628	98441	214568
629	98604	214425
630	98767	214283
631	98891	214056
632	99035	213872
633	99190	213712
634	99323	213506
635	99482	213356
636	99631	213183
637	99781	213012
638	99926	212833
639	100067	212643
640	100223	212485
641	100383	212336
642	100519	212139
643	100668	211966
644	100799	211756
645	100947	211583
646	101094	211407
647	101224	211195
648	101365	211008
649	101513	210835
650	101681	210704
651	101852	210577
652	102033	210472
653	102205	210349
654	102368	210206
655	102526	210054
656	102737	210009
657	102892	209850
658	103072	209742
659	103245	209620
660	103411	209482
661	103585	209360
662	103745	209213
663	103913	209078
664	104083	208950
665	104263	208839
666	104436	208717
667	104588	208551
668	104752	208409
669	104932	208298
670	105084	208132
671	105238	207971
672	105381	207787
673	105524	207604
674	105688	207461
675	105869	207353
676	106033	207212
677	106192	207058
678	106361	206926
679	106521	206776
680	106667	206600
681	106809	206413
682	106952	206232
683	107099	206056
