iter	Quantile:alpha=0.65
0	0.3825301426
1	0.378646083
2	0.3747416484
3	0.3708055848
4	0.3671195266
5	0.3635669691
6	0.3599552592
7	0.3563391024
8	0.3528740725
9	0.3494117662
10	0.3460261683
11	0.3429057101
12	0.3397957114
13	0.3365866027
14	0.3335017005
15	0.3305722943
16	0.3276574585
17	0.324764273
18	0.3219379291
19	0.3192358618
20	0.3166458408
21	0.3141569447
22	0.3116886313
23	0.3091693255
24	0.306653552
25	0.3042422971
26	0.3018043431
27	0.2995034026
28	0.2972543602
29	0.2951205369
30	0.2928723556
31	0.2907220984
32	0.2887283712
33	0.2867456345
34	0.2846459397
35	0.2827569404
36	0.2809645023
37	0.2789957495
38	0.2771461642
39	0.2754832988
40	0.2736485845
41	0.2718266307
42	0.2701095984
43	0.268379686
44	0.2667454979
45	0.2651543052
46	0.2637459908
47	0.2622876284
48	0.2608164515
49	0.259330763
50	0.2580238174
51	0.2567400489
52	0.2554408101
53	0.2540439381
54	0.2528874472
55	0.251640651
56	0.2504890358
57	0.2492185018
58	0.2480225184
59	0.2469172615
60	0.2458376484
61	0.2447779975
62	0.2436424063
63	0.2425794585
64	0.2416089944
65	0.2405173006
66	0.2395691705
67	0.2385970568
68	0.2376860014
69	0.2368085551
70	0.2359461275
71	0.235017371
72	0.234138891
73	0.2332978732
74	0.2323889087
75	0.2314785739
76	0.2305689441
77	0.229636884
78	0.2288710762
79	0.2281305358
80	0.2273884341
81	0.2265630296
82	0.225838045
83	0.2250321578
84	0.2242712051
85	0.2235928396
86	0.2228743939
87	0.2221875049
88	0.2214279986
89	0.2206617186
90	0.2199153455
91	0.2192249137
92	0.2185205501
93	0.2177592484
94	0.2170820628
95	0.2164289483
96	0.2158875335
97	0.2153716352
98	0.2147835379
99	0.2141385344
100	0.2135446093
101	0.2129779448
102	0.2125542818
103	0.2119205978
104	0.211314832
105	0.2107100525
106	0.2101117855
107	0.2096576251
108	0.2091900876
109	0.2087774824
110	0.2082211935
111	0.2077311377
112	0.2072211896
113	0.2067033298
114	0.2062585685
115	0.2057735543
116	0.2052762973
117	0.2047982132
118	0.2043136971
119	0.2038703825
120	0.2034465019
121	0.203005946
122	0.2026192602
123	0.2022210398
124	0.2018913528
125	0.2014884968
126	0.2011859489
127	0.2008203818
128	0.2004470749
129	0.200091036
130	0.1997241689
131	0.1993641955
132	0.1990564935
133	0.1987226795
134	0.1983614885
135	0.1980342314
136	0.1977025442
137	0.1973877163
138	0.197098515
139	0.1967763153
140	0.1964640775
141	0.1961245924
142	0.1958377596
143	0.195508585
144	0.1952354257
145	0.1949479499
146	0.1946855039
147	0.1944293645
148	0.1941598128
149	0.1939172705
150	0.1936781312
151	0.193405102
152	0.1931336718
153	0.1928768886
154	0.1926149704
155	0.1923962736
156	0.1921574183
157	0.1919353925
158	0.1917168874
159	0.1914652437
160	0.1912701593
161	0.1910772614
162	0.1908372458
163	0.19062511
164	0.1904429186
165	0.1902540881
166	0.1900298684
167	0.1898438183
168	0.189607602
169	0.1894014587
170	0.1892118021
171	0.1889728487
172	0.1887718945
173	0.1885532771
174	0.1883694272
175	0.188178927
176	0.1880106351
177	0.187843616
178	0.1876361701
179	0.1874310296
180	0.1872598699
181	0.1870773216
182	0.1869019944
183	0.1867398824
184	0.1866109811
185	0.1864514615
186	0.1863092706
187	0.1861525681
188	0.1860002134
189	0.1858814882
190	0.1857403606
191	0.1855879883
192	0.1854836852
193	0.1853470007
194	0.1852142264
195	0.1850716124
196	0.1849408684
197	0.1848066963
198	0.1846751057
199	0.1845659753
200	0.1844409978
201	0.1843201927
202	0.1842066227
203	0.1841072298
204	0.1839865005
205	0.1838796624
206	0.1837716318
207	0.1836259909
208	0.1834904167
209	0.1833664812
210	0.183220972
211	0.1831081755
212	0.183010545
213	0.182916885
214	0.1828181511
215	0.1827203968
216	0.1826287564
217	0.1825144468
218	0.1824112514
219	0.1823126091
220	0.182208753
221	0.1821275044
222	0.1820489205
223	0.1819667638
224	0.1818883984
225	0.1818135812
226	0.1817380077
227	0.1816473575
228	0.1815534867
229	0.1814826981
230	0.1813874022
231	0.1812771285
232	0.1811857864
233	0.1810819009
234	0.1809890207
235	0.1809110945
236	0.1808428695
237	0.1807502784
238	0.1806426452
239	0.180559556
240	0.180479681
241	0.1804097155
242	0.1803248488
243	0.1802527497
244	0.1801803213
245	0.180100413
246	0.1800229173
247	0.179967768
248	0.1798746331
249	0.1798113851
250	0.1797439427
251	0.1796836612
252	0.1796023775
253	0.1795451641
254	0.1794902733
255	0.1794136191
256	0.1793476712
257	0.1792523595
258	0.1791781402
259	0.1791107083
260	0.1790528492
261	0.1789931442
262	0.1789398124
263	0.1788787761
264	0.1788228117
265	0.1787497528
266	0.1786642684
267	0.1785766928
268	0.1785021509
269	0.1784688491
270	0.1783800654
271	0.1783226192
272	0.1782714634
273	0.1782002395
274	0.1781655008
275	0.1781119209
276	0.178080347
277	0.1780203869
278	0.1779526935
279	0.1778981637
280	0.1778286897
281	0.177773805
282	0.1777195579
283	0.1776750136
284	0.1776237422
285	0.1775609694
286	0.1774943539
287	0.1774439894
288	0.1773719261
289	0.1773086932
290	0.1772461765
291	0.1771926869
292	0.1771507274
293	0.1771003119
294	0.177059272
295	0.1770119166
296	0.1769646407
297	0.1769281972
298	0.1768913973
299	0.1768503668
300	0.1768097127
301	0.1767702475
302	0.1767312993
303	0.1766754144
304	0.1766351895
305	0.1765935361
306	0.1765321065
307	0.1764948129
308	0.176458657
309	0.1764187292
310	0.1763786061
311	0.1763178501
312	0.1762771688
313	0.176247581
314	0.1761943611
315	0.1761493693
316	0.1760914169
317	0.1760612118
318	0.1760076016
319	0.1759641863
320	0.1759256838
321	0.1758935762
322	0.1758536945
323	0.1758214228
324	0.175794169
325	0.1757493288
326	0.1757180322
327	0.175671643
328	0.1756361192
329	0.1756052708
330	0.1755867295
331	0.175557528
332	0.1755216952
333	0.1754912918
334	0.1754492294
335	0.1753995499
336	0.1753494356
337	0.1753025569
338	0.175265876
339	0.1752392629
340	0.1751876649
341	0.1751428524
